,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,92.0,712.0,92.0,92.0,92.0,160.0,92.0,240.0,92.0,979.0,92.0,979.0,92.0,1196.0,92.0,445.0,92.0,240.0,92.0,320.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,128.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
1,92.0,712.0,92.0,28.0,92.0,160.0,92.0,240.0,92.0,979.0,92.0,0.0,92.0,1196.0,92.0,89.0,92.0,240.0,92.0,240.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,128.0,92.0,256.0,92.0,128.0,92.0,0.0,92.0,172.0,92.0,92.0
2,92.0,712.0,92.0,92.0,92.0,160.0,92.0,240.0,92.0,979.0,92.0,801.0,92.0,1196.0,92.0,89.0,92.0,184.0,92.0,240.0,92.0,1196.0,92.0,552.0,92.0,979.0,92.0,92.0,92.0,128.0,92.0,96.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
3,92.0,712.0,92.0,92.0,92.0,160.0,92.0,240.0,92.0,979.0,92.0,89.0,92.0,1196.0,92.0,89.0,92.0,240.0,92.0,240.0,92.0,1196.0,92.0,460.0,92.0,979.0,92.0,368.0,92.0,128.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,184.0
4,92.0,712.0,92.0,92.0,92.0,160.0,92.0,240.0,92.0,979.0,92.0,89.0,92.0,1196.0,92.0,89.0,92.0,240.0,92.0,240.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,128.0,92.0,368.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
5,92.0,712.0,92.0,92.0,92.0,160.0,92.0,240.0,92.0,979.0,92.0,979.0,92.0,1196.0,92.0,89.0,92.0,240.0,92.0,240.0,92.0,0.0,92.0,178.0,92.0,979.0,92.0,92.0,92.0,128.0,92.0,100.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
6,92.0,712.0,92.0,92.0,92.0,160.0,92.0,240.0,92.0,979.0,92.0,979.0,92.0,1196.0,92.0,89.0,92.0,240.0,92.0,240.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,224.0,92.0,64.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
7,92.0,712.0,92.0,92.0,92.0,160.0,92.0,240.0,92.0,979.0,92.0,979.0,92.0,1196.0,92.0,89.0,92.0,240.0,92.0,240.0,92.0,644.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,128.0,92.0,296.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
8,92.0,712.0,92.0,92.0,92.0,178.0,92.0,160.0,92.0,712.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,240.0,92.0,0.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,86.0,92.0,128.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
9,92.0,712.0,92.0,92.0,92.0,356.0,92.0,160.0,92.0,623.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,240.0,92.0,249.0,92.0,1196.0,92.0,184.0,92.0,445.0,92.0,368.0,92.0,128.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
10,92.0,712.0,92.0,92.0,92.0,178.0,92.0,160.0,92.0,712.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,240.0,92.0,1196.0,92.0,1196.0,92.0,92.0,92.0,552.0,92.0,460.0,92.0,128.0,92.0,368.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
11,92.0,712.0,92.0,92.0,92.0,178.0,92.0,160.0,92.0,712.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,240.0,92.0,1196.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,128.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
12,92.0,712.0,92.0,92.0,92.0,178.0,92.0,160.0,92.0,712.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,240.0,92.0,460.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,32.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
13,92.0,712.0,92.0,184.0,92.0,178.0,92.0,160.0,92.0,712.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,240.0,92.0,276.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,128.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
14,92.0,712.0,92.0,92.0,92.0,178.0,92.0,160.0,92.0,801.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,240.0,92.0,92.0,92.0,1196.0,92.0,92.0,92.0,801.0,92.0,276.0,92.0,0.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,92.0,92.0,92.0
15,92.0,712.0,92.0,92.0,92.0,178.0,92.0,160.0,92.0,712.0,92.0,979.0,92.0,184.0,92.0,89.0,92.0,240.0,92.0,0.0,92.0,644.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,0.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,0.0,92.0,92.0
16,92.0,712.0,92.0,92.0,92.0,89.0,92.0,160.0,92.0,712.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,240.0,92.0,445.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,644.0,92.0,128.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,356.0,92.0,92.0
17,92.0,712.0,92.0,92.0,92.0,178.0,92.0,160.0,92.0,712.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,644.0,92.0,1196.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,460.0,92.0,128.0,92.0,128.0,92.0,352.0,92.0,0.0,92.0,92.0,92.0,92.0
18,92.0,712.0,92.0,92.0,92.0,178.0,92.0,160.0,92.0,712.0,92.0,979.0,92.0,92.0,92.0,89.0,92.0,240.0,92.0,1196.0,92.0,1196.0,92.0,92.0,92.0,979.0,92.0,92.0,92.0,128.0,92.0,128.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,92.0
19,92.0,712.0,92.0,92.0,92.0,178.0,92.0,160.0,92.0,0.0,92.0,979.0,92.0,184.0,92.0,89.0,92.0,240.0,92.0,644.0,92.0,1196.0,92.0,368.0,92.0,979.0,92.0,92.0,92.0,1104.0,92.0,128.0,92.0,128.0,92.0,184.0,92.0,736.0,92.0,92.0
