,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,63.0,2.0,63.0,61.0,63.0,3.0,63.0,34.0,63.0,85.0,63.0,61.0,63.0,23.0,63.0,61.0,63.0,61.0,63.0,61.0,63.0,61.0,63.0,61.0,63.0,21.0,63.0,61.0,63.0,47.0,63.0,115.0,63.0,26.0,63.0,61.0,63.0,2.0,63.0,3.0,63.0,100.0,63.0,61.0
1,61.0,2.0,61.0,61.0,61.0,3.0,61.0,34.0,61.0,85.0,61.0,26.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,77.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,66.0,61.0,100.0,61.0,61.0
2,61.0,2.0,61.0,61.0,61.0,3.0,61.0,34.0,61.0,85.0,61.0,26.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,85.0,61.0,26.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,42.0,61.0,25.0,61.0,24.0
3,61.0,2.0,61.0,61.0,61.0,3.0,61.0,34.0,61.0,85.0,61.0,26.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,42.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,3.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
4,61.0,2.0,61.0,61.0,61.0,3.0,61.0,34.0,61.0,85.0,61.0,26.0,61.0,23.0,61.0,37.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,9.0,61.0,2.0,61.0,3.0,61.0,119.0,61.0,61.0
5,61.0,2.0,61.0,61.0,61.0,3.0,61.0,34.0,61.0,85.0,61.0,26.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,9.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,8.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,70.0
6,61.0,2.0,61.0,61.0,61.0,3.0,61.0,34.0,61.0,85.0,61.0,26.0,61.0,23.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,38.0,61.0,9.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,6.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
7,61.0,2.0,61.0,61.0,61.0,3.0,61.0,34.0,61.0,85.0,61.0,26.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,9.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,32.0,61.0,3.0,61.0,100.0,61.0,61.0
8,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,1.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,9.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,45.0,61.0,69.0
9,61.0,2.0,61.0,61.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,41.0,61.0,9.0,61.0,61.0,61.0,61.0,61.0,51.0,61.0,26.0,61.0,3.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
10,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,45.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,9.0,61.0,12.0,61.0,61.0,61.0,115.0,61.0,37.0,61.0,61.0,61.0,2.0,61.0,23.0,61.0,100.0,61.0,61.0
11,61.0,2.0,61.0,61.0,61.0,61.0,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,28.0,61.0,61.0,61.0,9.0,61.0,61.0,61.0,28.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
12,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,78.0,61.0,21.0,61.0,15.0,61.0,28.0,61.0,61.0,61.0,9.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,37.0,61.0,61.0,61.0,71.0,61.0,3.0,61.0,100.0,61.0,61.0
13,61.0,2.0,61.0,61.0,61.0,61.0,61.0,17.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,28.0,61.0,61.0,61.0,61.0,61.0,9.0,61.0,50.0,61.0,43.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
14,61.0,2.0,61.0,61.0,61.0,67.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,27.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,23.0,61.0,100.0,61.0,61.0
15,61.0,2.0,61.0,33.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,16.0,61.0,61.0,61.0,13.0,61.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,18.0
16,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,47.0,61.0,115.0,61.0,49.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
17,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,24.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,65.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
18,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,27.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,70.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,19.0,61.0,26.0,61.0,61.0,61.0,20.0,61.0,3.0,61.0,100.0,61.0,61.0
19,61.0,2.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,8.0,61.0,61.0,61.0,61.0,61.0,12.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,89.0,61.0,100.0,61.0,61.0
20,61.0,2.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,42.0,61.0,61.0,61.0,57.0,61.0,45.0,61.0,28.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,18.0,61.0,2.0,61.0,11.0,61.0,100.0,61.0,22.0
21,61.0,2.0,61.0,30.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
22,61.0,2.0,61.0,61.0,61.0,61.0,61.0,12.0,61.0,61.0,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,43.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,45.0,61.0,2.0,61.0,44.0,61.0,100.0,61.0,61.0
23,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,43.0,61.0,38.0,61.0,89.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,66.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
24,61.0,2.0,61.0,61.0,61.0,61.0,61.0,51.0,61.0,61.0,61.0,6.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,41.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
25,61.0,2.0,61.0,61.0,61.0,63.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,65.0,61.0,26.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,11.0,61.0,100.0,61.0,59.0
26,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,77.0,61.0,77.0,61.0,10.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,61.0,15.0,61.0,45.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
27,61.0,2.0,61.0,61.0,61.0,38.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,61.0,61.0,14.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,88.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
28,61.0,2.0,61.0,48.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
29,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,68.0,61.0,61.0
30,61.0,2.0,61.0,61.0,61.0,10.0,61.0,61.0,61.0,61.0,61.0,27.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,44.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
31,61.0,2.0,61.0,61.0,61.0,61.0,61.0,70.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,64.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,29.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,11.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
32,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,11.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,61.0
33,61.0,2.0,61.0,61.0,61.0,9.0,61.0,77.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,47.0,61.0,61.0,61.0,24.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,115.0,61.0,26.0,61.0,61.0,61.0,22.0,61.0,3.0,61.0,100.0,61.0,9.0
34,61.0,2.0,61.0,61.0,61.0,83.0,61.0,61.0,61.0,40.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,61.0,61.0,9.0,61.0,61.0,61.0,31.0,61.0,115.0,61.0,26.0,61.0,22.0,61.0,2.0,61.0,3.0,61.0,100.0,61.0,5.0
