0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
1,0.0,0.0,0.0,2568807627.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564740811.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
6,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
7,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
8,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744445.0,2564744395.0,2564744395.0
9,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
10,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
11,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
12,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
13,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
14,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744459.0,2564744395.0,2564744395.0,2564744395.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2552292555.0,2564744395.0,2561467595.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564694017.0,2564744395.0,2564744395.0,2564744395.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0,2564744395.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0
35,0.0,0.0,0.0,2564744395.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,0.0,2564744395.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564744395.0,2564744395.0,2564744395.0
