,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,60.0,0.0,243.0,0.0,243.0,0.0,217.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,141.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,271.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,74.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,313.0,0.0,4.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,310.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,99.0,0.0,32.0,0.0,32.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,60.0,0.0,243.0,0.0,248.0,0.0,217.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,241.0,0.0,243.0,0.0,142.0,0.0,243.0,0.0,141.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,271.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,33.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,285.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,172.0,0.0,69.0,0.0,32.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,60.0,0.0,243.0,0.0,248.0,0.0,217.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,206.0,0.0,243.0,0.0,243.0,0.0,141.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,271.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,33.0,0.0,33.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,60.0,0.0,243.0,0.0,248.0,0.0,217.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,141.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,271.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,33.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,60.0,0.0,243.0,0.0,248.0,0.0,217.0,0.0,243.0,0.0,207.0,0.0,62.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,141.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,271.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,33.0,0.0,67.0,0.0,210.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,66.0,0.0,104.0,0.0,72.0,0.0,69.0,0.0,310.0,0.0,310.0,0.0,250.0,0.0,249.0,0.0,248.0,0.0,283.0,0.0,252.0,0.0,283.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,248.0,0.0,217.0,0.0,243.0,0.0,207.0,0.0,62.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,205.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,271.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,128.0,0.0,132.0,0.0,132.0,0.0,33.0,0.0,67.0,0.0,1.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,32.0,0.0,32.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,248.0,0.0,217.0,0.0,243.0,0.0,207.0,0.0,62.0,0.0,243.0,0.0,57.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,271.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,33.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,64.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,35.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,32.0,0.0,32.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,248.0,0.0,217.0,0.0,243.0,0.0,207.0,0.0,62.0,0.0,243.0,0.0,57.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,271.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,33.0,0.0,30.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,310.0,0.0,310.0,0.0,211.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,131.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,99.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,248.0,0.0,217.0,0.0,243.0,0.0,207.0,0.0,62.0,0.0,243.0,0.0,57.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,104.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,271.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,33.0,0.0,67.0,0.0,2.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,66.0,0.0,32.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,248.0,0.0,217.0,0.0,243.0,0.0,207.0,0.0,62.0,0.0,243.0,0.0,57.0,0.0,137.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,33.0,0.0,68.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,210.0,0.0,67.0,0.0,105.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,206.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,206.0,0.0,217.0,0.0,243.0,0.0,207.0,0.0,62.0,0.0,243.0,0.0,57.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,96.0,0.0,243.0,0.0,243.0,0.0,238.0,0.0,235.0,0.0,235.0,0.0,197.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,233.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,142.0,0.0,145.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,69.0,0.0,310.0,0.0,278.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,166.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,95.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,217.0,0.0,243.0,0.0,207.0,0.0,62.0,0.0,243.0,0.0,57.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,233.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,279.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,134.0,0.0,132.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,217.0,0.0,243.0,0.0,207.0,0.0,62.0,0.0,243.0,0.0,57.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,245.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,233.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,67.0,0.0,17.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,70.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,172.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,235.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,104.0,0.0,243.0,0.0,217.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,57.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,243.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,233.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,101.0,0.0,67.0,0.0,67.0,0.0,70.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,310.0,0.0,310.0,0.0,248.0,0.0,248.0,0.0,248.0,0.0,283.0,0.0,283.0,0.0,283.0,0.0,12.0,0.0,172.0,0.0,172.0,0.0,132.0,0.0,132.0,0.0,132.0,0.0,32.0,0.0,4.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
