,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,63.0,48.0,63.0,61.0,63.0,70.0,63.0,2.0,63.0,100.0,63.0,61.0,63.0,0.0,63.0,25.0,63.0,61.0,63.0,61.0,63.0,0.0,63.0,17.0,63.0,36.0,63.0,61.0,63.0,66.0,63.0,44.0,63.0,53.0,63.0,9.0,63.0,24.0,63.0,66.0,63.0,69.0,63.0,18.0,63.0,144.0,63.0,33.0,63.0,69.0
1,61.0,48.0,61.0,63.0,61.0,70.0,61.0,2.0,61.0,100.0,61.0,61.0,61.0,0.0,61.0,25.0,61.0,61.0,61.0,61.0,61.0,10.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,66.0,61.0,66.0,61.0,53.0,61.0,9.0,61.0,61.0,61.0,66.0,61.0,4.0,61.0,5.0,61.0,144.0,61.0,74.0,61.0,13.0
2,61.0,48.0,61.0,9.0,61.0,70.0,61.0,2.0,61.0,100.0,61.0,61.0,61.0,0.0,61.0,25.0,61.0,61.0,61.0,1.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,67.0,61.0,66.0,61.0,6.0,61.0,53.0,61.0,62.0,61.0,61.0,61.0,66.0,61.0,48.0,61.0,0.0,61.0,144.0,61.0,11.0,61.0,85.0
3,61.0,48.0,61.0,9.0,61.0,70.0,61.0,2.0,61.0,100.0,61.0,61.0,61.0,0.0,61.0,25.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,50.0,61.0,13.0,61.0,53.0,61.0,70.0,61.0,61.0,61.0,66.0,61.0,48.0,61.0,25.0,61.0,144.0,61.0,74.0,61.0,59.0
4,61.0,48.0,61.0,9.0,61.0,70.0,61.0,2.0,61.0,100.0,61.0,61.0,61.0,0.0,61.0,25.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,65.0,61.0,61.0,61.0,66.0,61.0,66.0,61.0,81.0,61.0,70.0,61.0,28.0,61.0,66.0,61.0,48.0,61.0,67.0,61.0,144.0,61.0,74.0,61.0,74.0
5,61.0,48.0,61.0,9.0,61.0,70.0,61.0,2.0,61.0,100.0,61.0,61.0,61.0,0.0,61.0,25.0,61.0,61.0,61.0,61.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,66.0,61.0,66.0,61.0,53.0,61.0,70.0,61.0,32.0,61.0,66.0,61.0,45.0,61.0,67.0,61.0,144.0,61.0,74.0,61.0,85.0
6,61.0,48.0,61.0,9.0,61.0,70.0,61.0,2.0,61.0,100.0,61.0,61.0,61.0,0.0,61.0,25.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,2.0,61.0,66.0,61.0,66.0,61.0,53.0,61.0,70.0,61.0,61.0,61.0,66.0,61.0,48.0,61.0,22.0,61.0,144.0,61.0,74.0,61.0,85.0
7,61.0,48.0,61.0,9.0,61.0,70.0,61.0,2.0,61.0,100.0,61.0,61.0,61.0,0.0,61.0,25.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,29.0,61.0,61.0,61.0,66.0,61.0,66.0,61.0,53.0,61.0,70.0,61.0,25.0,61.0,66.0,61.0,48.0,61.0,67.0,61.0,37.0,61.0,74.0,61.0,85.0
8,61.0,48.0,61.0,9.0,61.0,61.0,61.0,52.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,66.0,61.0,66.0,61.0,53.0,61.0,70.0,61.0,61.0,61.0,66.0,61.0,48.0,61.0,67.0,61.0,32.0,61.0,74.0,61.0,85.0
9,61.0,48.0,61.0,9.0,61.0,17.0,61.0,36.0,61.0,61.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,28.0,61.0,61.0,61.0,61.0,61.0,66.0,61.0,84.0,61.0,53.0,61.0,70.0,61.0,12.0,61.0,35.0,61.0,48.0,61.0,67.0,61.0,144.0,61.0,74.0,61.0,85.0
