,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,0.0,518.0,0.0,518.0,0.0,666.0,0.0,77.0,0.0,539.0,0.0,368.0,0.0,80.0,0.0,77.0,0.0,231.0,0.0,77.0,0.0,368.0,0.0,356.0,0.0,368.0,0.0,77.0,0.0,320.0,0.0,160.0,0.0,666.0,0.0,666.0,0.0,518.0,0.0,460.0,0.0,356.0,0.0,0.0
1,0.0,518.0,0.0,518.0,0.0,666.0,0.0,77.0,0.0,539.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,77.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,666.0,0.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,518.0,0.0,518.0,0.0,666.0,0.0,77.0,0.0,539.0,0.0,258.0,0.0,80.0,0.0,77.0,0.0,184.0,0.0,77.0,0.0,0.0,0.0,178.0,0.0,552.0,0.0,77.0,0.0,154.0,0.0,0.0,0.0,666.0,0.0,0.0,0.0,814.0,0.0,0.0,0.0,1104.0,0.0,80.0
3,0.0,518.0,0.0,518.0,0.0,666.0,0.0,77.0,0.0,539.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,184.0,0.0,356.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,0.0,666.0,0.0,518.0,0.0,184.0,0.0,92.0,0.0,160.0
4,0.0,518.0,0.0,518.0,0.0,666.0,0.0,77.0,0.0,539.0,0.0,0.0,0.0,80.0,0.0,89.0,0.0,77.0,0.0,77.0,0.0,0.0,0.0,356.0,0.0,92.0,0.0,77.0,0.0,480.0,0.0,0.0,0.0,444.0,0.0,666.0,0.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,518.0,0.0,518.0,0.0,666.0,0.0,77.0,0.0,539.0,0.0,0.0,0.0,80.0,0.0,231.0,0.0,308.0,0.0,77.0,0.0,0.0,0.0,267.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,148.0,0.0,666.0,0.0,736.0,0.0,0.0,0.0,644.0,0.0,400.0
6,0.0,518.0,0.0,518.0,0.0,666.0,0.0,77.0,0.0,539.0,0.0,92.0,0.0,80.0,0.0,184.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,623.0,0.0,552.0,0.0,77.0,0.0,160.0,0.0,560.0,0.0,0.0,0.0,666.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,80.0
7,0.0,518.0,0.0,518.0,0.0,666.0,0.0,77.0,0.0,539.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,320.0,0.0,166.0,0.0,592.0,0.0,666.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0
8,0.0,518.0,0.0,518.0,0.0,518.0,0.0,518.0,0.0,77.0,0.0,385.0,0.0,644.0,0.0,1012.0,0.0,539.0,0.0,77.0,0.0,0.0,0.0,267.0,0.0,552.0,0.0,308.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,666.0,0.0,644.0,0.0,92.0,0.0,276.0,0.0,0.0
9,0.0,518.0,0.0,0.0,0.0,518.0,0.0,148.0,0.0,0.0,0.0,77.0,0.0,92.0,0.0,0.0,0.0,616.0,0.0,77.0,0.0,0.0,0.0,267.0,0.0,534.0,0.0,308.0,0.0,320.0,0.0,880.0,0.0,666.0,0.0,92.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,518.0
