,0,1,2,3,4,5,6,7,8,9
0,5.0,21.0,5.0,5.0,5.0,17.0,5.0,40.0,5.0,43.0
1,5.0,21.0,5.0,15.0,5.0,17.0,5.0,40.0,5.0,43.0
2,5.0,21.0,5.0,5.0,5.0,17.0,5.0,40.0,5.0,43.0
3,5.0,21.0,5.0,6.0,5.0,17.0,5.0,40.0,5.0,43.0
4,5.0,21.0,5.0,5.0,5.0,17.0,5.0,40.0,5.0,43.0
5,5.0,21.0,5.0,5.0,5.0,17.0,5.0,40.0,5.0,43.0
6,5.0,21.0,5.0,10.0,5.0,17.0,5.0,40.0,5.0,43.0
7,5.0,21.0,5.0,5.0,5.0,17.0,5.0,40.0,5.0,43.0
8,5.0,21.0,5.0,5.0,5.0,11.0,5.0,15.0,5.0,0.0
9,5.0,21.0,5.0,0.0,5.0,11.0,5.0,0.0,5.0,5.0
10,5.0,21.0,5.0,5.0,5.0,11.0,5.0,5.0,5.0,5.0
11,5.0,21.0,5.0,1.0,5.0,11.0,5.0,10.0,5.0,5.0
12,5.0,21.0,5.0,5.0,5.0,11.0,5.0,5.0,5.0,5.0
13,5.0,21.0,5.0,5.0,5.0,15.0,5.0,20.0,5.0,10.0
14,5.0,21.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,5.0
15,5.0,21.0,5.0,5.0,5.0,11.0,5.0,15.0,5.0,5.0
16,5.0,21.0,5.0,0.0,5.0,1.0,5.0,10.0,5.0,5.0
17,5.0,21.0,5.0,5.0,5.0,9.0,5.0,10.0,5.0,4.0
18,5.0,21.0,5.0,5.0,5.0,9.0,5.0,10.0,5.0,5.0
19,5.0,21.0,5.0,5.0,5.0,11.0,5.0,5.0,5.0,4.0
20,5.0,21.0,5.0,0.0,5.0,11.0,5.0,10.0,5.0,5.0
21,5.0,21.0,5.0,15.0,5.0,11.0,5.0,10.0,5.0,24.0
22,5.0,21.0,5.0,5.0,5.0,1.0,5.0,10.0,5.0,3.0
23,5.0,21.0,5.0,5.0,5.0,1.0,5.0,10.0,5.0,10.0
24,5.0,21.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0
25,5.0,21.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,6.0
26,5.0,21.0,5.0,5.0,5.0,10.0,5.0,10.0,5.0,0.0
27,5.0,21.0,5.0,5.0,5.0,6.0,5.0,10.0,5.0,5.0
28,5.0,21.0,5.0,5.0,5.0,11.0,5.0,0.0,5.0,6.0
29,5.0,21.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,4.0
30,5.0,21.0,5.0,4.0,5.0,11.0,5.0,10.0,5.0,5.0
31,5.0,21.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,5.0
32,5.0,21.0,5.0,11.0,5.0,6.0,5.0,10.0,5.0,5.0
33,5.0,21.0,5.0,5.0,5.0,12.0,5.0,10.0,5.0,5.0
34,5.0,21.0,5.0,5.0,5.0,11.0,5.0,1.0,5.0,6.0
35,5.0,21.0,5.0,5.0,5.0,11.0,5.0,16.0,5.0,1.0
36,5.0,21.0,5.0,0.0,5.0,11.0,5.0,10.0,5.0,15.0
37,5.0,21.0,5.0,10.0,5.0,0.0,5.0,10.0,5.0,0.0
38,5.0,21.0,5.0,20.0,5.0,17.0,5.0,10.0,5.0,5.0
39,5.0,21.0,5.0,1.0,5.0,17.0,5.0,6.0,5.0,21.0
40,0.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0
41,0.0,5.0,0.0,10.0,0.0,4.0,0.0,10.0,0.0,6.0
42,0.0,5.0,0.0,10.0,0.0,11.0,0.0,10.0,0.0,5.0
43,0.0,6.0,0.0,10.0,0.0,11.0,0.0,10.0,0.0,5.0
44,0.0,5.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,5.0
45,0.0,10.0,0.0,5.0,0.0,6.0,0.0,10.0,0.0,5.0
46,0.0,5.0,0.0,5.0,0.0,11.0,0.0,5.0,0.0,5.0
47,0.0,5.0,0.0,10.0,0.0,21.0,0.0,10.0,0.0,5.0
48,0.0,5.0,0.0,25.0,0.0,11.0,0.0,9.0,0.0,0.0
49,5.0,5.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,5.0
50,5.0,5.0,5.0,10.0,5.0,11.0,5.0,10.0,5.0,5.0
51,11.0,5.0,11.0,0.0,11.0,5.0,11.0,10.0,11.0,4.0
52,11.0,5.0,11.0,5.0,11.0,11.0,11.0,10.0,11.0,5.0
53,11.0,5.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,4.0
54,11.0,5.0,11.0,5.0,11.0,11.0,11.0,10.0,11.0,4.0
55,11.0,5.0,11.0,5.0,11.0,11.0,11.0,0.0,11.0,4.0
56,11.0,10.0,11.0,5.0,11.0,11.0,11.0,10.0,11.0,0.0
57,11.0,5.0,11.0,5.0,11.0,11.0,11.0,10.0,11.0,0.0
58,11.0,11.0,11.0,5.0,11.0,6.0,11.0,10.0,11.0,4.0
59,11.0,5.0,11.0,5.0,11.0,6.0,11.0,10.0,11.0,1.0
60,5.0,5.0,5.0,5.0,5.0,11.0,5.0,2.0,5.0,0.0
61,5.0,5.0,5.0,15.0,5.0,11.0,5.0,5.0,5.0,4.0
62,5.0,5.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,4.0
63,5.0,5.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,9.0
64,5.0,5.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,4.0
65,5.0,14.0,5.0,5.0,5.0,17.0,5.0,10.0,5.0,2.0
66,5.0,18.0,5.0,9.0,5.0,11.0,5.0,10.0,5.0,4.0
67,5.0,5.0,5.0,0.0,5.0,11.0,5.0,10.0,5.0,4.0
68,5.0,15.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,5.0
69,5.0,5.0,5.0,5.0,5.0,11.0,5.0,10.0,5.0,5.0
70,10.0,31.0,10.0,5.0,10.0,1.0,10.0,10.0,10.0,5.0
71,5.0,10.0,5.0,5.0,5.0,10.0,5.0,25.0,5.0,5.0
72,5.0,15.0,5.0,5.0,5.0,6.0,5.0,10.0,5.0,1.0
