,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,92.0,534.0,92.0,92.0,92.0,979.0,92.0,172.0,92.0,77.0,92.0,172.0,92.0,148.0,92.0,77.0,92.0,77.0,92.0,276.0,92.0,276.0,92.0,0.0,92.0,89.0,92.0,83.0,92.0,736.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
1,92.0,534.0,92.0,92.0,92.0,979.0,92.0,172.0,92.0,77.0,92.0,172.0,92.0,148.0,92.0,77.0,92.0,77.0,92.0,276.0,92.0,276.0,92.0,0.0,92.0,89.0,92.0,83.0,92.0,276.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
2,92.0,534.0,92.0,92.0,92.0,979.0,92.0,172.0,92.0,77.0,92.0,344.0,92.0,148.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,89.0,92.0,89.0,92.0,83.0,92.0,0.0,92.0,92.0,92.0,415.0,92.0,148.0,92.0,267.0,92.0,92.0
3,92.0,534.0,92.0,92.0,92.0,979.0,92.0,172.0,92.0,77.0,92.0,172.0,92.0,148.0,92.0,77.0,92.0,77.0,92.0,276.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,0.0,92.0,148.0,92.0,267.0,92.0,92.0
4,92.0,534.0,92.0,92.0,92.0,979.0,92.0,172.0,92.0,77.0,92.0,172.0,92.0,148.0,92.0,77.0,92.0,77.0,92.0,276.0,92.0,276.0,92.0,712.0,92.0,712.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
5,92.0,534.0,92.0,92.0,92.0,979.0,92.0,172.0,92.0,77.0,92.0,172.0,92.0,148.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,712.0,92.0,267.0,92.0,0.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,0.0,92.0,92.0
6,92.0,534.0,92.0,0.0,92.0,979.0,92.0,172.0,92.0,77.0,92.0,172.0,92.0,148.0,92.0,77.0,92.0,77.0,92.0,276.0,92.0,0.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,0.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
7,92.0,534.0,92.0,92.0,92.0,979.0,92.0,172.0,92.0,77.0,92.0,172.0,92.0,148.0,92.0,77.0,92.0,77.0,92.0,276.0,92.0,276.0,92.0,534.0,92.0,0.0,92.0,83.0,92.0,0.0,92.0,92.0,92.0,666.0,92.0,148.0,92.0,267.0,92.0,92.0
8,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,0.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,623.0,92.0,89.0,92.0,83.0,92.0,0.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
9,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,276.0,92.0,92.0,92.0,178.0,92.0,148.0,92.0,1068.0,92.0,92.0
10,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,184.0,92.0,0.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
11,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,1196.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,445.0,92.0,801.0
12,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,0.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,0.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,0.0
13,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,552.0,92.0,276.0,92.0,276.0,92.0,534.0,92.0,0.0,92.0,83.0,92.0,920.0,92.0,828.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
14,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,258.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,276.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,415.0
15,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,356.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,0.0,92.0,148.0,92.0,267.0,92.0,92.0
16,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,0.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
17,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,385.0,92.0,0.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,368.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
18,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,1196.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
19,92.0,534.0,92.0,92.0,92.0,267.0,92.0,460.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
20,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
21,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,178.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,276.0,92.0,0.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
22,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,276.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,0.0,92.0,92.0
23,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,534.0,92.0,356.0,92.0,83.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
24,92.0,534.0,92.0,92.0,92.0,267.0,92.0,184.0,92.0,267.0,92.0,172.0,92.0,172.0,92.0,77.0,92.0,77.0,92.0,0.0,92.0,276.0,92.0,534.0,92.0,89.0,92.0,332.0,92.0,920.0,92.0,92.0,92.0,148.0,92.0,148.0,92.0,267.0,92.0,92.0
