,0,1,2,3,4,5,6,7,8,9,10,11
0,5.0,3.0,5.0,4.0,5.0,36.0,5.0,49.0,5.0,33.0,5.0,16.0
1,5.0,3.0,5.0,5.0,5.0,36.0,5.0,49.0,5.0,33.0,5.0,9.0
2,5.0,3.0,5.0,5.0,5.0,36.0,5.0,49.0,5.0,33.0,5.0,39.0
3,5.0,3.0,5.0,5.0,5.0,36.0,5.0,49.0,5.0,33.0,5.0,49.0
4,5.0,3.0,5.0,5.0,5.0,36.0,5.0,49.0,5.0,33.0,5.0,49.0
5,5.0,3.0,5.0,0.0,5.0,36.0,5.0,49.0,5.0,33.0,5.0,49.0
6,5.0,3.0,5.0,5.0,5.0,36.0,5.0,49.0,5.0,33.0,5.0,40.0
7,5.0,3.0,5.0,4.0,5.0,36.0,5.0,49.0,5.0,33.0,5.0,0.0
8,5.0,3.0,5.0,5.0,5.0,0.0,5.0,18.0,5.0,6.0,5.0,49.0
9,5.0,3.0,5.0,5.0,5.0,12.0,5.0,18.0,5.0,18.0,5.0,10.0
10,5.0,3.0,5.0,5.0,5.0,0.0,5.0,18.0,5.0,13.0,5.0,1.0
11,5.0,3.0,5.0,6.0,5.0,15.0,5.0,18.0,5.0,18.0,5.0,49.0
12,5.0,3.0,5.0,5.0,5.0,12.0,5.0,10.0,5.0,18.0,5.0,49.0
13,5.0,3.0,5.0,15.0,5.0,6.0,5.0,18.0,5.0,18.0,5.0,49.0
14,5.0,3.0,5.0,5.0,5.0,12.0,5.0,18.0,5.0,18.0,5.0,10.0
15,5.0,3.0,5.0,20.0,5.0,12.0,5.0,18.0,5.0,18.0,5.0,49.0
16,5.0,3.0,5.0,10.0,5.0,12.0,5.0,23.0,5.0,18.0,5.0,49.0
17,5.0,3.0,5.0,5.0,5.0,15.0,5.0,18.0,5.0,14.0,5.0,49.0
18,5.0,3.0,5.0,5.0,5.0,5.0,5.0,18.0,5.0,19.0,5.0,4.0
19,5.0,3.0,5.0,0.0,5.0,11.0,5.0,23.0,5.0,9.0,5.0,5.0
20,5.0,3.0,5.0,5.0,5.0,11.0,5.0,18.0,5.0,18.0,5.0,49.0
21,5.0,3.0,5.0,5.0,5.0,13.0,5.0,23.0,5.0,18.0,5.0,49.0
22,5.0,3.0,5.0,9.0,5.0,9.0,5.0,15.0,5.0,18.0,5.0,40.0
23,5.0,3.0,5.0,5.0,5.0,12.0,5.0,18.0,5.0,30.0,5.0,40.0
24,5.0,3.0,5.0,5.0,5.0,12.0,5.0,18.0,5.0,18.0,5.0,44.0
25,5.0,3.0,5.0,5.0,5.0,0.0,5.0,18.0,5.0,18.0,5.0,49.0
26,5.0,3.0,5.0,20.0,5.0,1.0,5.0,18.0,5.0,18.0,5.0,49.0
27,5.0,3.0,5.0,5.0,5.0,12.0,5.0,18.0,5.0,3.0,5.0,20.0
28,5.0,3.0,5.0,5.0,5.0,5.0,5.0,18.0,5.0,1.0,5.0,49.0
29,5.0,3.0,5.0,5.0,5.0,12.0,5.0,18.0,5.0,1.0,5.0,49.0
30,5.0,3.0,5.0,0.0,5.0,1.0,5.0,0.0,5.0,1.0,5.0,25.0
31,5.0,3.0,5.0,1.0,5.0,4.0,5.0,18.0,5.0,0.0,5.0,49.0
32,5.0,3.0,5.0,5.0,5.0,12.0,5.0,18.0,5.0,1.0,5.0,5.0
33,5.0,3.0,5.0,5.0,5.0,12.0,5.0,10.0,5.0,1.0,5.0,49.0
34,5.0,3.0,5.0,5.0,5.0,12.0,5.0,18.0,5.0,1.0,5.0,49.0
35,5.0,3.0,5.0,5.0,5.0,6.0,5.0,18.0,5.0,1.0,5.0,1.0
36,5.0,3.0,5.0,5.0,5.0,17.0,5.0,13.0,5.0,1.0,5.0,49.0
37,5.0,3.0,5.0,5.0,5.0,12.0,5.0,29.0,5.0,1.0,5.0,49.0
38,5.0,3.0,5.0,5.0,5.0,2.0,5.0,18.0,5.0,1.0,5.0,49.0
39,5.0,3.0,5.0,5.0,5.0,6.0,5.0,18.0,5.0,1.0,5.0,39.0
40,1.0,5.0,1.0,10.0,1.0,12.0,1.0,10.0,1.0,1.0,1.0,49.0
41,1.0,5.0,1.0,5.0,1.0,12.0,1.0,13.0,1.0,1.0,1.0,25.0
42,1.0,5.0,1.0,5.0,1.0,13.0,1.0,18.0,1.0,1.0,1.0,49.0
43,1.0,5.0,1.0,10.0,1.0,4.0,1.0,18.0,1.0,1.0,1.0,4.0
44,1.0,5.0,1.0,5.0,1.0,12.0,1.0,29.0,1.0,1.0,1.0,49.0
45,1.0,5.0,1.0,5.0,1.0,12.0,1.0,18.0,1.0,1.0,1.0,49.0
46,1.0,5.0,1.0,0.0,1.0,12.0,1.0,18.0,1.0,1.0,1.0,49.0
47,1.0,5.0,1.0,0.0,1.0,11.0,1.0,18.0,1.0,1.0,1.0,49.0
48,1.0,5.0,1.0,5.0,1.0,5.0,1.0,18.0,1.0,30.0,1.0,0.0
49,5.0,5.0,5.0,1.0,5.0,12.0,5.0,23.0,5.0,1.0,5.0,49.0
50,5.0,4.0,5.0,5.0,5.0,12.0,5.0,1.0,5.0,1.0,5.0,10.0
51,10.0,5.0,10.0,5.0,10.0,18.0,10.0,15.0,10.0,1.0,10.0,45.0
52,10.0,14.0,10.0,6.0,10.0,12.0,10.0,18.0,10.0,1.0,10.0,6.0
53,10.0,5.0,10.0,5.0,10.0,12.0,10.0,24.0,10.0,1.0,10.0,49.0
