0,3.0,21.0,45.0,3.0,9.0,3.0,0.0,12.0,3.0,14.0,3.0,3.0,0.0,0.0,24.0,24.0,0.0,3.0,29.0,29.0,29.0,15.0,39.0,6.0,24.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,45.0,6.0,30.0,24.0,53.0,17.0,21.0,45.0,8.0,6.0,18.0,3.0,53.0,0.0,3.0,12.0,0.0,18.0,0.0,0.0,27.0,29.0,6.0,36.0,36.0,3.0,27.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,39.0,9.0,42.0,50.0,15.0,6.0,27.0,45.0,0.0,8.0,8.0,3.0,24.0,12.0,0.0,0.0,0.0,39.0,0.0,3.0,3.0,29.0,29.0,33.0,9.0,12.0,32.0,21.0,12.0,0.0,21.0,3.0,3.0,44.0,6.0,0.0,0.0,39.0
1,3.0,3.0,45.0,3.0,3.0,3.0,15.0,3.0,3.0,14.0,0.0,24.0,0.0,0.0,24.0,24.0,39.0,36.0,29.0,29.0,33.0,36.0,15.0,18.0,0.0,9.0,0.0,0.0,3.0,3.0,6.0,6.0,0.0,0.0,12.0,42.0,50.0,18.0,0.0,53.0,53.0,8.0,53.0,8.0,6.0,3.0,24.0,24.0,0.0,50.0,8.0,3.0,0.0,12.0,3.0,17.0,29.0,29.0,36.0,36.0,3.0,0.0,0.0,0.0,21.0,18.0,3.0,6.0,0.0,3.0,53.0,41.0,42.0,50.0,44.0,17.0,53.0,45.0,0.0,0.0,29.0,3.0,3.0,0.0,15.0,0.0,0.0,24.0,24.0,3.0,39.0,29.0,29.0,3.0,36.0,36.0,45.0,21.0,15.0,0.0,3.0,3.0,3.0,39.0,45.0,53.0,26.0,18.0
2,3.0,3.0,45.0,3.0,3.0,15.0,24.0,12.0,0.0,45.0,3.0,3.0,0.0,0.0,24.0,24.0,12.0,12.0,6.0,29.0,29.0,38.0,36.0,12.0,3.0,0.0,24.0,3.0,3.0,27.0,0.0,6.0,0.0,29.0,0.0,21.0,50.0,42.0,50.0,45.0,53.0,8.0,45.0,9.0,6.0,3.0,3.0,0.0,12.0,3.0,12.0,27.0,30.0,0.0,3.0,3.0,0.0,29.0,36.0,27.0,3.0,44.0,32.0,0.0,15.0,3.0,6.0,6.0,53.0,0.0,12.0,0.0,39.0,50.0,9.0,53.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,12.0,0.0,36.0,3.0,42.0,53.0,0.0,33.0,42.0,0.0,12.0,3.0,3.0,24.0,6.0,6.0,0.0,0.0,24.0
3,3.0,15.0,45.0,12.0,24.0,3.0,0.0,3.0,24.0,50.0,3.0,3.0,0.0,0.0,0.0,24.0,9.0,0.0,12.0,6.0,21.0,36.0,18.0,0.0,3.0,0.0,18.0,3.0,18.0,3.0,6.0,0.0,26.0,0.0,9.0,45.0,39.0,0.0,50.0,6.0,53.0,8.0,39.0,44.0,6.0,53.0,21.0,0.0,0.0,6.0,12.0,0.0,0.0,27.0,3.0,3.0,6.0,0.0,36.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,9.0,30.0,42.0,0.0,3.0,6.0,53.0,53.0,45.0,0.0,8.0,0.0,18.0,3.0,0.0,38.0,0.0,14.0,24.0,24.0,3.0,0.0,29.0,29.0,29.0,36.0,18.0,3.0,0.0,0.0,20.0,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0
4,3.0,3.0,45.0,3.0,3.0,3.0,3.0,3.0,3.0,14.0,0.0,3.0,0.0,3.0,24.0,24.0,18.0,3.0,0.0,29.0,21.0,36.0,36.0,0.0,0.0,0.0,3.0,3.0,3.0,27.0,6.0,6.0,53.0,0.0,27.0,30.0,50.0,53.0,50.0,53.0,14.0,0.0,39.0,18.0,6.0,3.0,0.0,42.0,27.0,3.0,6.0,0.0,3.0,18.0,53.0,18.0,8.0,29.0,3.0,50.0,3.0,15.0,9.0,18.0,3.0,12.0,9.0,6.0,0.0,53.0,0.0,0.0,8.0,50.0,0.0,0.0,53.0,24.0,29.0,8.0,8.0,15.0,3.0,45.0,0.0,0.0,0.0,27.0,0.0,29.0,39.0,12.0,3.0,0.0,36.0,0.0,0.0,0.0,45.0,0.0,3.0,12.0,0.0,6.0,6.0,3.0,0.0,42.0
5,3.0,3.0,45.0,3.0,3.0,3.0,3.0,3.0,12.0,50.0,3.0,6.0,0.0,0.0,24.0,27.0,3.0,3.0,29.0,29.0,24.0,21.0,36.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,24.0,6.0,0.0,23.0,8.0,42.0,23.0,0.0,50.0,53.0,53.0,0.0,45.0,0.0,45.0,3.0,9.0,3.0,53.0,15.0,9.0,15.0,24.0,18.0,3.0,0.0,29.0,29.0,24.0,12.0,3.0,33.0,45.0,0.0,3.0,29.0,42.0,30.0,24.0,0.0,6.0,24.0,42.0,21.0,24.0,33.0,53.0,45.0,0.0,23.0,8.0,3.0,3.0,12.0,3.0,0.0,0.0,24.0,0.0,3.0,9.0,9.0,29.0,9.0,36.0,12.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,42.0,18.0,0.0,0.0,18.0
6,3.0,27.0,45.0,3.0,9.0,3.0,3.0,12.0,3.0,50.0,3.0,3.0,3.0,45.0,21.0,21.0,21.0,3.0,29.0,0.0,3.0,6.0,24.0,15.0,39.0,0.0,12.0,3.0,3.0,6.0,0.0,6.0,0.0,0.0,21.0,42.0,42.0,50.0,50.0,53.0,36.0,45.0,24.0,8.0,39.0,3.0,3.0,24.0,53.0,3.0,45.0,0.0,24.0,0.0,3.0,0.0,45.0,29.0,27.0,9.0,3.0,42.0,0.0,0.0,3.0,29.0,6.0,6.0,21.0,27.0,15.0,0.0,0.0,30.0,53.0,53.0,15.0,45.0,0.0,9.0,18.0,27.0,12.0,3.0,3.0,0.0,12.0,18.0,24.0,6.0,0.0,6.0,0.0,21.0,8.0,36.0,0.0,0.0,0.0,26.0,3.0,0.0,6.0,33.0,0.0,12.0,0.0,42.0
7,3.0,3.0,6.0,3.0,3.0,3.0,12.0,24.0,21.0,50.0,3.0,3.0,15.0,21.0,24.0,3.0,0.0,18.0,6.0,0.0,24.0,36.0,36.0,0.0,0.0,53.0,0.0,39.0,3.0,6.0,6.0,24.0,0.0,0.0,0.0,42.0,50.0,0.0,50.0,53.0,0.0,45.0,30.0,41.0,0.0,3.0,3.0,3.0,29.0,3.0,12.0,0.0,0.0,9.0,3.0,0.0,29.0,29.0,45.0,39.0,3.0,15.0,45.0,0.0,3.0,24.0,9.0,3.0,26.0,14.0,21.0,29.0,42.0,50.0,0.0,53.0,45.0,3.0,0.0,8.0,8.0,9.0,3.0,3.0,3.0,0.0,30.0,3.0,24.0,24.0,3.0,0.0,0.0,45.0,36.0,3.0,45.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,6.0,0.0,0.0,3.0
8,3.0,3.0,3.0,3.0,36.0,3.0,3.0,3.0,3.0,30.0,0.0,3.0,0.0,0.0,24.0,53.0,38.0,3.0,24.0,3.0,0.0,3.0,36.0,24.0,17.0,45.0,0.0,15.0,3.0,6.0,12.0,6.0,0.0,6.0,6.0,42.0,50.0,8.0,50.0,53.0,53.0,45.0,33.0,0.0,6.0,3.0,45.0,9.0,12.0,0.0,12.0,21.0,6.0,3.0,6.0,53.0,45.0,29.0,36.0,0.0,3.0,21.0,21.0,0.0,0.0,0.0,6.0,44.0,50.0,0.0,8.0,27.0,0.0,0.0,21.0,53.0,53.0,45.0,0.0,8.0,8.0,21.0,3.0,3.0,24.0,0.0,12.0,0.0,8.0,39.0,0.0,0.0,29.0,21.0,36.0,36.0,0.0,0.0,0.0,39.0,27.0,27.0,14.0,6.0,6.0,0.0,0.0,27.0
9,3.0,3.0,3.0,3.0,0.0,3.0,3.0,9.0,18.0,20.0,53.0,3.0,0.0,0.0,24.0,21.0,24.0,3.0,3.0,15.0,29.0,3.0,36.0,0.0,0.0,0.0,0.0,27.0,3.0,6.0,6.0,6.0,15.0,0.0,6.0,0.0,50.0,0.0,50.0,44.0,24.0,45.0,24.0,36.0,6.0,0.0,6.0,3.0,39.0,24.0,6.0,30.0,24.0,9.0,3.0,3.0,29.0,29.0,36.0,39.0,36.0,0.0,0.0,0.0,21.0,29.0,6.0,6.0,0.0,6.0,42.0,18.0,6.0,50.0,50.0,53.0,0.0,45.0,27.0,8.0,0.0,0.0,3.0,27.0,3.0,0.0,0.0,3.0,24.0,0.0,0.0,21.0,29.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,6.0,12.0,0.0,0.0,42.0
10,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,50.0,3.0,3.0,12.0,0.0,24.0,21.0,45.0,3.0,0.0,24.0,29.0,18.0,0.0,6.0,0.0,0.0,0.0,9.0,3.0,3.0,27.0,39.0,0.0,24.0,0.0,42.0,38.0,9.0,50.0,24.0,39.0,45.0,45.0,8.0,30.0,3.0,3.0,12.0,9.0,3.0,44.0,0.0,53.0,9.0,21.0,15.0,29.0,33.0,36.0,39.0,3.0,0.0,15.0,9.0,27.0,3.0,0.0,6.0,8.0,36.0,36.0,42.0,42.0,12.0,0.0,53.0,53.0,0.0,32.0,6.0,0.0,42.0,50.0,3.0,3.0,24.0,14.0,27.0,24.0,3.0,3.0,29.0,29.0,12.0,36.0,36.0,0.0,0.0,0.0,0.0,21.0,3.0,6.0,0.0,6.0,53.0,0.0,53.0
