,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
106,0.0,178.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,344.0,0.0,0.0,0.0,178.0,0.0,828.0,0.0,0.0
107,0.0,178.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,344.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0
108,184.0,178.0,184.0,0.0,184.0,0.0,184.0,534.0,184.0,946.0,184.0,86.0,184.0,368.0,184.0,178.0,184.0,0.0,184.0,0.0,184.0,148.0,184.0,344.0,184.0,0.0,184.0,623.0,184.0,828.0,184.0,0.0
109,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,344.0,0.0,0.0,0.0,80.0,0.0,828.0,0.0,0.0
110,184.0,178.0,184.0,0.0,184.0,0.0,184.0,534.0,184.0,946.0,184.0,946.0,184.0,368.0,184.0,178.0,184.0,0.0,184.0,781.0,184.0,148.0,184.0,344.0,184.0,0.0,184.0,0.0,184.0,828.0,184.0,0.0
111,0.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,68.0,0.0,0.0,0.0,148.0,0.0,344.0,0.0,0.0,0.0,59.0,0.0,828.0,0.0,0.0
112,0.0,178.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0
113,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,68.0,0.0,0.0,0.0,148.0,0.0,344.0,0.0,0.0,0.0,267.0,0.0,828.0,0.0,0.0
114,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,408.0,0.0,0.0,0.0,148.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,828.0,0.0,0.0
115,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,356.0,0.0,445.0,0.0,112.0,0.0,172.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,89.0,0.0,0.0
116,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,444.0,0.0,0.0,0.0,136.0,0.0,344.0,0.0,184.0,0.0,445.0,0.0,828.0,0.0,0.0
117,0.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,344.0,0.0,368.0,0.0,178.0,0.0,408.0,0.0,0.0,0.0,136.0,0.0,258.0,0.0,0.0,0.0,445.0,0.0,828.0,0.0,0.0
118,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,0.0,0.0,368.0,0.0,178.0,0.0,552.0,0.0,0.0,0.0,136.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,828.0,0.0,0.0
119,0.0,623.0,0.0,368.0,0.0,0.0,0.0,89.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,142.0,0.0,0.0,0.0,136.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,828.0,0.0,0.0
120,0.0,623.0,0.0,0.0,0.0,368.0,0.0,534.0,0.0,946.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,136.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,828.0,0.0,0.0
121,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,1032.0,0.0,0.0,0.0,368.0,0.0,178.0,0.0,408.0,0.0,148.0,0.0,204.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,828.0,0.0,0.0
122,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,408.0,0.0,148.0,0.0,136.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,828.0,0.0,0.0
123,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,408.0,0.0,148.0,0.0,136.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,828.0,0.0,0.0
124,0.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,408.0,0.0,148.0,0.0,136.0,0.0,344.0,0.0,0.0,0.0,92.0,0.0,828.0,0.0,0.0
125,0.0,267.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,272.0,0.0,148.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,623.0,0.0,828.0,0.0,0.0
126,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,8.0,0.0,408.0,0.0,148.0,0.0,136.0,0.0,344.0,0.0,0.0,0.0,356.0,0.0,828.0,0.0,828.0
127,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,184.0,0.0,178.0,0.0,0.0,0.0,148.0,0.0,136.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0
128,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,0.0,0.0,368.0,0.0,267.0,0.0,0.0,0.0,148.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0
129,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,0.0,0.0,148.0,0.0,136.0,0.0,344.0,0.0,92.0,0.0,445.0,0.0,828.0,0.0,0.0
130,0.0,623.0,0.0,184.0,0.0,184.0,0.0,534.0,0.0,946.0,0.0,86.0,0.0,368.0,0.0,178.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,89.0,0.0,828.0,0.0,0.0
131,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0
132,184.0,623.0,184.0,0.0,184.0,0.0,184.0,534.0,184.0,946.0,184.0,0.0,184.0,368.0,184.0,0.0,184.0,781.0,184.0,148.0,184.0,0.0,184.0,344.0,184.0,0.0,184.0,0.0,184.0,0.0,184.0,0.0
133,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,344.0,0.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0
135,0.0,623.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,83.0
136,0.0,445.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,267.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
137,368.0,623.0,368.0,0.0,368.0,0.0,368.0,534.0,368.0,258.0,368.0,946.0,368.0,368.0,368.0,581.0,368.0,112.0,368.0,828.0,368.0,0.0,368.0,344.0,368.0,184.0,368.0,445.0,368.0,0.0,368.0,0.0
138,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
139,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
140,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
141,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
142,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,774.0,0.0,368.0,0.0,89.0,0.0,0.0,0.0,828.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
143,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,178.0,0.0,148.0,0.0,828.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
144,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,0.0,0.0,148.0,0.0,184.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,356.0,0.0,0.0
145,276.0,623.0,276.0,0.0,276.0,0.0,276.0,89.0,276.0,946.0,276.0,0.0,276.0,276.0,276.0,445.0,276.0,148.0,276.0,0.0,276.0,0.0,276.0,344.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
146,0.0,623.0,0.0,368.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,148.0,0.0,828.0,0.0,0.0,0.0,344.0,0.0,92.0,0.0,445.0,0.0,0.0,0.0,0.0
147,0.0,623.0,0.0,92.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,828.0,0.0,445.0,0.0,148.0,0.0,828.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
148,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,148.0,0.0,828.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,920.0
149,0.0,623.0,0.0,92.0,0.0,184.0,0.0,534.0,0.0,946.0,0.0,86.0,0.0,460.0,0.0,445.0,0.0,148.0,0.0,828.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
150,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,148.0,0.0,368.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
151,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,148.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
152,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,148.0,0.0,748.0,0.0,0.0,0.0,344.0,0.0,92.0,0.0,445.0,0.0,0.0,0.0,92.0
153,0.0,623.0,0.0,0.0,0.0,460.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,148.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,92.0,0.0,0.0
154,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,148.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
155,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,148.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
156,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,623.0,0.0,148.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
157,0.0,89.0,0.0,0.0,0.0,224.0,0.0,534.0,0.0,946.0,0.0,86.0,0.0,368.0,0.0,276.0,0.0,148.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,736.0,0.0,445.0,0.0,368.0,0.0,0.0
158,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,356.0,0.0,148.0,0.0,272.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,445.0,0.0,415.0,0.0,0.0
159,184.0,89.0,184.0,0.0,184.0,0.0,184.0,534.0,184.0,946.0,184.0,946.0,184.0,368.0,184.0,445.0,184.0,828.0,184.0,272.0,184.0,0.0,184.0,344.0,184.0,0.0,184.0,368.0,184.0,0.0,184.0,644.0
160,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,828.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,368.0,0.0,445.0,0.0,0.0,0.0,0.0
161,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,276.0,0.0,0.0
162,0.0,89.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
163,0.0,89.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,644.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,184.0,0.0,445.0,0.0,0.0,0.0,0.0
164,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,828.0,0.0,272.0,0.0,0.0,0.0,344.0,0.0,712.0,0.0,445.0,0.0,184.0,0.0,0.0
165,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,552.0,0.0,368.0,0.0,267.0,0.0,828.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,460.0,0.0,445.0,0.0,0.0,0.0,0.0
166,92.0,623.0,92.0,0.0,92.0,0.0,92.0,801.0,92.0,946.0,92.0,946.0,92.0,368.0,92.0,445.0,92.0,184.0,92.0,276.0,92.0,0.0,92.0,344.0,92.0,0.0,92.0,445.0,92.0,0.0,92.0,0.0
167,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,516.0,0.0,368.0,0.0,445.0,0.0,0.0,0.0,736.0,0.0,92.0,0.0,368.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
168,0.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,828.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
169,0.0,623.0,0.0,0.0,0.0,623.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,0.0,0.0,445.0,0.0,828.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
170,92.0,623.0,92.0,0.0,92.0,0.0,92.0,534.0,92.0,946.0,92.0,946.0,92.0,368.0,92.0,445.0,92.0,828.0,92.0,276.0,92.0,267.0,92.0,344.0,92.0,276.0,92.0,445.0,92.0,0.0,92.0,267.0
171,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,774.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,828.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
172,0.0,623.0,0.0,0.0,0.0,184.0,0.0,552.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,368.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
173,0.0,623.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,946.0,0.0,516.0,0.0,368.0,0.0,445.0,0.0,272.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
174,0.0,445.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,92.0,0.0,445.0,0.0,748.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
175,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,0.0,0.0,272.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,92.0,0.0,0.0
176,0.0,623.0,0.0,736.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,272.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
177,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,89.0,0.0,272.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,92.0
178,0.0,623.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,272.0,0.0,276.0,0.0,184.0,0.0,0.0,0.0,498.0,0.0,276.0,0.0,0.0,0.0,0.0
179,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,272.0,0.0,276.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
180,0.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,344.0,0.0,368.0,0.0,0.0,0.0,272.0,0.0,276.0,0.0,92.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
181,0.0,623.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,946.0,0.0,602.0,0.0,368.0,0.0,445.0,0.0,272.0,0.0,267.0,0.0,92.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
182,0.0,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,0.0,0.0,272.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
183,0.0,623.0,0.0,92.0,0.0,0.0,0.0,623.0,0.0,946.0,0.0,946.0,0.0,184.0,0.0,445.0,0.0,272.0,0.0,267.0,0.0,801.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
184,0.0,623.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,92.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,356.0,0.0,184.0,0.0,0.0
185,0.0,623.0,0.0,0.0,0.0,92.0,0.0,267.0,0.0,946.0,0.0,946.0,0.0,460.0,0.0,445.0,0.0,272.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,92.0,0.0,0.0
186,0.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,946.0,0.0,92.0,0.0,445.0,0.0,272.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
187,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
188,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,688.0,0.0,368.0,0.0,267.0,0.0,276.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
189,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,736.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,92.0
190,0.0,623.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
191,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,368.0
192,552.0,623.0,552.0,0.0,552.0,0.0,552.0,534.0,552.0,946.0,552.0,946.0,552.0,368.0,552.0,445.0,552.0,276.0,552.0,267.0,552.0,0.0,552.0,344.0,552.0,276.0,552.0,445.0,552.0,0.0,552.0,0.0
193,0.0,623.0,0.0,92.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,148.0,0.0,0.0,0.0,172.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
194,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,92.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,267.0,0.0,0.0,0.0,344.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,460.0
195,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,184.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
196,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,308.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,552.0,0.0,0.0
197,0.0,623.0,0.0,0.0,0.0,0.0,0.0,736.0,0.0,946.0,0.0,516.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,136.0,0.0,172.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
198,0.0,623.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,86.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,136.0,0.0,92.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,89.0,0.0,0.0,0.0,445.0,0.0,276.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
200,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,184.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,368.0
201,0.0,276.0,0.0,552.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,0.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,320.0
202,0.0,276.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,946.0,0.0,516.0,0.0,368.0,0.0,445.0,0.0,276.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
203,0.0,276.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,92.0,0.0,368.0,0.0,445.0,0.0,267.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,736.0
204,0.0,368.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,356.0,0.0,184.0,0.0,445.0,0.0,267.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0
205,0.0,276.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,267.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,92.0
206,0.0,276.0,0.0,0.0,0.0,460.0,0.0,267.0,0.0,946.0,0.0,0.0,0.0,368.0,0.0,445.0,0.0,267.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
207,0.0,276.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,0.0,0.0,368.0,0.0,445.0,0.0,267.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
208,0.0,276.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,267.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,552.0,0.0,445.0,0.0,0.0,0.0,0.0
209,0.0,276.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,267.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
210,0.0,276.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,86.0,0.0,368.0,0.0,445.0,0.0,267.0,0.0,136.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,0.0,0.0,92.0,0.0,0.0
211,0.0,276.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,445.0,0.0,267.0,0.0,148.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
212,0.0,276.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,368.0,0.0,267.0,0.0,267.0,0.0,148.0,0.0,0.0,0.0,344.0,0.0,276.0,0.0,445.0,0.0,0.0,0.0,0.0
