,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,368.0,1012.0,368.0,1068.0,368.0,623.0,368.0,258.0,368.0,86.0,368.0,276.0,368.0,1472.0,368.0,212.0,368.0,212.0,368.0,212.0,368.0,623.0,368.0,212.0,368.0,92.0,368.0,258.0,368.0,368.0,368.0,368.0,368.0,92.0,368.0,688.0,368.0,92.0,368.0,644.0,368.0,828.0
1,368.0,1012.0,368.0,1068.0,368.0,623.0,368.0,258.0,368.0,86.0,368.0,276.0,368.0,1472.0,368.0,212.0,368.0,212.0,368.0,212.0,368.0,623.0,368.0,212.0,368.0,92.0,368.0,258.0,368.0,368.0,368.0,552.0,368.0,92.0,368.0,184.0,368.0,92.0,368.0,1472.0,368.0,890.0
2,368.0,1012.0,368.0,1068.0,368.0,623.0,368.0,258.0,368.0,86.0,368.0,276.0,368.0,1472.0,368.0,212.0,368.0,212.0,368.0,212.0,368.0,623.0,368.0,212.0,368.0,92.0,368.0,0.0,368.0,368.0,368.0,92.0,368.0,92.0,368.0,0.0,368.0,92.0,368.0,1472.0,368.0,828.0
3,368.0,1012.0,368.0,1068.0,368.0,623.0,368.0,258.0,368.0,86.0,368.0,276.0,368.0,1472.0,368.0,212.0,368.0,212.0,368.0,212.0,368.0,623.0,368.0,212.0,368.0,92.0,368.0,258.0,368.0,368.0,368.0,368.0,368.0,92.0,368.0,276.0,368.0,92.0,368.0,1472.0,368.0,1196.0
4,368.0,1012.0,368.0,1068.0,368.0,623.0,368.0,258.0,368.0,86.0,368.0,276.0,368.0,1472.0,368.0,212.0,368.0,212.0,368.0,106.0,368.0,623.0,368.0,212.0,368.0,92.0,368.0,78.0,368.0,368.0,368.0,368.0,368.0,92.0,368.0,258.0,368.0,552.0,368.0,1472.0,368.0,0.0
5,368.0,1012.0,368.0,1068.0,368.0,623.0,368.0,258.0,368.0,86.0,368.0,276.0,368.0,1472.0,368.0,212.0,368.0,212.0,368.0,212.0,368.0,276.0,368.0,212.0,368.0,92.0,368.0,258.0,368.0,92.0,368.0,368.0,368.0,92.0,368.0,368.0,368.0,92.0,368.0,644.0,368.0,828.0
6,368.0,1012.0,368.0,1068.0,368.0,623.0,368.0,258.0,368.0,86.0,368.0,276.0,368.0,1472.0,368.0,212.0,368.0,212.0,368.0,212.0,368.0,623.0,368.0,212.0,368.0,92.0,368.0,258.0,368.0,368.0,368.0,184.0,368.0,92.0,368.0,368.0,368.0,92.0,368.0,276.0,368.0,828.0
7,368.0,1012.0,368.0,1068.0,368.0,623.0,368.0,258.0,368.0,86.0,368.0,276.0,368.0,1472.0,368.0,296.0,368.0,212.0,368.0,212.0,368.0,623.0,368.0,212.0,368.0,276.0,368.0,258.0,368.0,368.0,368.0,368.0,368.0,92.0,368.0,0.0,368.0,92.0,368.0,1472.0,368.0,828.0
8,368.0,1012.0,368.0,1068.0,368.0,1068.0,368.0,0.0,368.0,0.0,368.0,276.0,368.0,184.0,368.0,212.0,368.0,106.0,368.0,212.0,368.0,623.0,368.0,212.0,368.0,552.0,368.0,258.0,368.0,89.0,368.0,368.0,368.0,92.0,368.0,178.0,368.0,92.0,368.0,828.0,368.0,828.0
9,368.0,1012.0,368.0,1068.0,368.0,1068.0,368.0,0.0,368.0,0.0,368.0,276.0,368.0,184.0,368.0,212.0,368.0,212.0,368.0,212.0,368.0,623.0,368.0,212.0,368.0,92.0,368.0,258.0,368.0,276.0,368.0,368.0,368.0,92.0,368.0,184.0,368.0,276.0,368.0,1472.0,368.0,828.0
