,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,92.0,178.0,92.0,445.0,92.0,1012.0,92.0,83.0,92.0,1288.0,92.0,92.0,92.0,166.0,92.0,178.0,92.0,178.0,92.0,89.0,92.0,89.0,92.0,644.0,92.0,445.0,92.0,1288.0,92.0,1104.0,92.0,2.0,92.0,92.0,92.0,0.0
1,92.0,178.0,92.0,445.0,92.0,1012.0,92.0,83.0,92.0,1288.0,92.0,92.0,92.0,166.0,92.0,178.0,92.0,178.0,92.0,623.0,92.0,89.0,92.0,92.0,92.0,445.0,92.0,1288.0,92.0,644.0,92.0,0.0,92.0,368.0,92.0,0.0
2,92.0,178.0,92.0,445.0,92.0,1012.0,92.0,83.0,92.0,1288.0,92.0,92.0,92.0,166.0,92.0,178.0,92.0,178.0,92.0,178.0,92.0,89.0,92.0,92.0,92.0,445.0,92.0,1288.0,92.0,644.0,92.0,0.0,92.0,92.0,92.0,92.0
3,92.0,178.0,92.0,445.0,92.0,1012.0,92.0,83.0,92.0,1288.0,92.0,92.0,92.0,166.0,92.0,178.0,92.0,178.0,92.0,0.0,92.0,445.0,92.0,92.0,92.0,445.0,92.0,1288.0,92.0,644.0,92.0,0.0,92.0,92.0,92.0,92.0
4,92.0,178.0,92.0,445.0,92.0,1012.0,92.0,83.0,92.0,1288.0,92.0,92.0,92.0,166.0,92.0,178.0,92.0,178.0,92.0,89.0,92.0,0.0,92.0,92.0,92.0,445.0,92.0,1288.0,92.0,644.0,92.0,166.0,92.0,92.0,92.0,0.0
5,92.0,178.0,92.0,445.0,92.0,1012.0,92.0,83.0,92.0,1288.0,92.0,92.0,92.0,166.0,92.0,178.0,92.0,178.0,92.0,0.0,92.0,368.0,92.0,92.0,92.0,445.0,92.0,276.0,92.0,644.0,92.0,0.0,92.0,92.0,92.0,92.0
6,92.0,178.0,92.0,445.0,92.0,1012.0,92.0,83.0,92.0,1288.0,92.0,276.0,92.0,166.0,92.0,178.0,92.0,178.0,92.0,178.0,92.0,0.0,92.0,92.0,92.0,445.0,92.0,1288.0,92.0,644.0,92.0,552.0,92.0,92.0,92.0,92.0
7,92.0,178.0,92.0,445.0,92.0,1012.0,92.0,83.0,92.0,1288.0,92.0,92.0,92.0,166.0,92.0,178.0,92.0,178.0,92.0,89.0,92.0,89.0,92.0,92.0,92.0,445.0,92.0,1288.0,92.0,644.0,92.0,0.0,92.0,92.0,92.0,92.0
8,92.0,178.0,92.0,623.0,92.0,460.0,92.0,92.0,92.0,1012.0,92.0,92.0,92.0,92.0,92.0,178.0,92.0,178.0,92.0,89.0,92.0,89.0,92.0,92.0,92.0,267.0,92.0,1288.0,92.0,736.0,92.0,166.0,92.0,92.0,92.0,920.0
9,92.0,178.0,92.0,623.0,92.0,460.0,92.0,92.0,92.0,1012.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,178.0,92.0,1246.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,644.0,92.0,0.0,92.0,92.0,92.0,92.0
10,92.0,178.0,92.0,623.0,92.0,460.0,92.0,276.0,92.0,1012.0,92.0,92.0,92.0,92.0,92.0,178.0,92.0,178.0,92.0,445.0,92.0,89.0,92.0,92.0,92.0,92.0,92.0,1288.0,92.0,644.0,92.0,852.0,92.0,92.0,92.0,184.0
11,92.0,178.0,92.0,623.0,92.0,460.0,92.0,92.0,92.0,1012.0,92.0,92.0,92.0,92.0,92.0,356.0,92.0,178.0,92.0,0.0,92.0,356.0,92.0,92.0,92.0,0.0,92.0,1288.0,92.0,644.0,92.0,332.0,92.0,92.0,92.0,0.0
