0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,20.0,20.0,11.0,11.0,6.0,10.0,5.0,1.0,5.0,5.0,0.0,1.0,5.0,15.0,14.0,1.0,6.0,1.0,6.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.0,30.0,12.0,5.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,15.0,11.0,11.0,5.0,15.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,0.0,14.0,1.0,14.0,6.0,6.0,0.0,1.0,15.0,0.0,5.0,30.0,0.0,0.0,0.0,15.0,7.0,5.0,5.0,18.0,40.0,18.0,29.0,10.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,5.0,0.0,20.0,15.0,16.0,0.0,5.0,5.0,10.0,2.0,5.0,5.0,0.0,0.0,13.0,19.0,6.0,5.0,9.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,16.0,5.0,4.0,7.0,4.0,1.0,20.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,20.0
1,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,6.0,0.0,0.0,1.0,20.0,20.0,11.0,11.0,11.0,5.0,15.0,5.0,5.0,10.0,0.0,1.0,0.0,18.0,5.0,7.0,6.0,10.0,6.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,6.0,7.0,7.0,5.0,5.0,5.0,16.0,5.0,8.0,0.0,0.0,20.0,20.0,11.0,0.0,4.0,10.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,9.0,14.0,14.0,6.0,10.0,0.0,1.0,0.0,5.0,14.0,30.0,0.0,0.0,0.0,6.0,7.0,5.0,5.0,18.0,34.0,19.0,44.0,19.0,5.0,5.0,4.0,5.0,1.0,5.0,0.0,0.0,2.0,16.0,15.0,5.0,0.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.0,10.0,7.0,17.0,0.0,4.0,0.0,0.0,1.0,20.0,1.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,20.0
2,5.0,5.0,5.0,5.0,5.0,0.0,5.0,10.0,5.0,5.0,15.0,9.0,0.0,0.0,0.0,20.0,16.0,15.0,11.0,6.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,18.0,14.0,1.0,6.0,5.0,6.0,0.0,0.0,1.0,5.0,5.0,0.0,2.0,0.0,7.0,7.0,7.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,10.0,20.0,11.0,11.0,15.0,5.0,5.0,1.0,5.0,5.0,3.0,19.0,5.0,14.0,14.0,5.0,6.0,6.0,0.0,10.0,0.0,5.0,5.0,10.0,0.0,0.0,0.0,10.0,7.0,3.0,5.0,18.0,15.0,10.0,5.0,9.0,5.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,20.0,1.0,15.0,19.0,11.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,1.0,6.0,4.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,7.0,7.0,5.0,5.0,4.0,4.0,1.0,1.0,20.0,13.0,8.0,3.0,5.0,5.0,0.0,0.0,0.0,21.0
3,5.0,5.0,20.0,11.0,1.0,5.0,0.0,5.0,26.0,5.0,10.0,5.0,0.0,0.0,1.0,20.0,20.0,11.0,11.0,11.0,5.0,5.0,5.0,15.0,5.0,0.0,0.0,0.0,18.0,14.0,5.0,6.0,6.0,0.0,6.0,1.0,0.0,5.0,5.0,0.0,0.0,31.0,10.0,7.0,7.0,30.0,5.0,0.0,5.0,10.0,0.0,0.0,0.0,20.0,20.0,5.0,11.0,11.0,5.0,0.0,5.0,5.0,21.0,5.0,0.0,0.0,14.0,17.0,14.0,6.0,6.0,0.0,0.0,0.0,5.0,5.0,8.0,0.0,0.0,0.0,16.0,7.0,5.0,10.0,18.0,38.0,37.0,44.0,39.0,5.0,5.0,21.0,5.0,1.0,16.0,0.0,0.0,20.0,12.0,15.0,11.0,40.0,5.0,5.0,5.0,5.0,14.0,0.0,0.0,6.0,14.0,0.0,6.0,6.0,10.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,6.0,7.0,2.0,5.0,5.0,4.0,4.0,1.0,1.0,11.0,0.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,20.0
4,5.0,10.0,5.0,5.0,5.0,5.0,5.0,14.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,20.0,21.0,11.0,5.0,11.0,10.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,18.0,14.0,14.0,3.0,15.0,0.0,0.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,7.0,7.0,5.0,5.0,5.0,5.0,9.0,0.0,0.0,0.0,20.0,20.0,11.0,11.0,6.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,14.0,14.0,9.0,6.0,6.0,10.0,0.0,0.0,5.0,5.0,30.0,0.0,0.0,0.0,10.0,7.0,30.0,5.0,18.0,38.0,18.0,44.0,44.0,5.0,5.0,5.0,20.0,1.0,5.0,0.0,11.0,20.0,20.0,0.0,11.0,11.0,5.0,5.0,4.0,5.0,10.0,5.0,5.0,6.0,14.0,14.0,1.0,6.0,6.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,12.0,7.0,7.0,10.0,5.0,4.0,9.0,1.0,1.0,4.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,5.0,10.0,10.0,5.0,1.0,0.0,0.0,20.0,20.0,5.0,5.0,11.0,16.0,9.0,5.0,11.0,6.0,0.0,0.0,0.0,18.0,18.0,14.0,6.0,6.0,6.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,7.0,7.0,1.0,30.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,20.0,20.0,6.0,11.0,5.0,0.0,5.0,5.0,9.0,5.0,5.0,15.0,0.0,20.0,17.0,14.0,19.0,14.0,11.0,0.0,7.0,5.0,5.0,30.0,0.0,12.0,0.0,10.0,15.0,5.0,20.0,18.0,0.0,18.0,13.0,15.0,5.0,5.0,5.0,5.0,1.0,10.0,4.0,0.0,20.0,20.0,15.0,11.0,11.0,5.0,10.0,5.0,9.0,25.0,0.0,5.0,6.0,14.0,1.0,0.0,0.0,6.0,0.0,9.0,5.0,5.0,0.0,0.0,0.0,7.0,7.0,7.0,10.0,11.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
6,5.0,5.0,5.0,6.0,5.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,21.0,11.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,18.0,1.0,4.0,6.0,10.0,6.0,1.0,10.0,0.0,5.0,10.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,21.0,20.0,11.0,11.0,11.0,5.0,30.0,5.0,5.0,5.0,4.0,4.0,0.0,14.0,13.0,13.0,2.0,1.0,0.0,20.0,0.0,5.0,5.0,30.0,0.0,0.0,0.0,6.0,2.0,15.0,5.0,18.0,38.0,24.0,1.0,15.0,10.0,5.0,19.0,5.0,1.0,0.0,0.0,0.0,20.0,20.0,6.0,11.0,6.0,5.0,0.0,5.0,1.0,12.0,1.0,0.0,0.0,14.0,11.0,7.0,6.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,25.0,7.0,7.0,0.0,0.0,10.0,4.0,0.0,1.0,4.0,12.0,4.0,15.0,1.0,5.0,5.0,0.0,0.0,0.0,20.0
7,5.0,5.0,5.0,21.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,20.0,20.0,2.0,15.0,11.0,6.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,18.0,14.0,15.0,10.0,6.0,12.0,0.0,6.0,20.0,6.0,5.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,5.0,10.0,0.0,5.0,0.0,0.0,0.0,20.0,20.0,5.0,1.0,11.0,5.0,5.0,0.0,5.0,5.0,9.0,0.0,0.0,14.0,19.0,14.0,5.0,6.0,0.0,1.0,5.0,5.0,5.0,30.0,0.0,0.0,0.0,15.0,7.0,4.0,5.0,12.0,39.0,18.0,49.0,44.0,1.0,5.0,5.0,10.0,1.0,5.0,0.0,0.0,20.0,0.0,15.0,0.0,2.0,5.0,15.0,5.0,30.0,0.0,5.0,0.0,6.0,14.0,39.0,6.0,6.0,5.0,6.0,0.0,5.0,5.0,5.0,5.0,10.0,7.0,7.0,15.0,44.0,5.0,4.0,0.0,2.0,1.0,12.0,0.0,7.0,0.0,5.0,1.0,0.0,15.0,0.0,20.0
8,5.0,5.0,5.0,5.0,0.0,0.0,15.0,5.0,5.0,15.0,5.0,5.0,1.0,0.0,3.0,1.0,16.0,15.0,11.0,11.0,6.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,18.0,14.0,14.0,6.0,6.0,1.0,0.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,12.0,1.0,6.0,5.0,5.0,5.0,5.0,15.0,0.0,0.0,0.0,20.0,20.0,11.0,11.0,11.0,11.0,5.0,5.0,5.0,19.0,5.0,0.0,19.0,14.0,14.0,10.0,6.0,12.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,6.0,12.0,5.0,15.0,2.0,18.0,18.0,39.0,44.0,5.0,9.0,5.0,5.0,5.0,0.0,1.0,1.0,20.0,20.0,0.0,11.0,11.0,5.0,5.0,9.0,5.0,0.0,15.0,0.0,6.0,4.0,14.0,6.0,16.0,0.0,0.0,7.0,5.0,5.0,0.0,0.0,0.0,12.0,7.0,5.0,5.0,0.0,4.0,4.0,2.0,0.0,12.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,15.0,20.0
9,5.0,5.0,5.0,6.0,0.0,0.0,5.0,10.0,0.0,5.0,9.0,10.0,0.0,1.0,0.0,20.0,34.0,11.0,9.0,21.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,18.0,14.0,14.0,6.0,0.0,19.0,0.0,0.0,10.0,5.0,6.0,0.0,0.0,1.0,7.0,7.0,7.0,5.0,5.0,5.0,17.0,15.0,1.0,1.0,0.0,20.0,20.0,11.0,1.0,5.0,10.0,5.0,10.0,5.0,7.0,5.0,5.0,0.0,5.0,14.0,14.0,5.0,6.0,10.0,0.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,10.0,12.0,5.0,6.0,14.0,18.0,18.0,14.0,44.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,20.0,20.0,12.0,0.0,11.0,5.0,5.0,10.0,5.0,1.0,0.0,0.0,6.0,10.0,14.0,6.0,3.0,6.0,0.0,0.0,5.0,15.0,0.0,30.0,0.0,7.0,2.0,14.0,6.0,10.0,4.0,4.0,0.0,1.0,12.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,20.0,16.0
